,Title,Links,Description,Present Prices,Old Price,From
2351,"Acer Swift 5 SF514-55TA-58NY | 2021 Model | 14-inch FHD laptop ( i5-1135G7, 8GB, 512GB , Intel Iris Xe, W10 )",https://computermania.com.bd/product/acer-swift-5-in-bd/,," 99,000",,ComputerMania-
2352,"Acer Swift 5 SF514-55TA-72VG | 2021 Model | 14-inch FHD laptop ( i7-1165G7, 16GB, 1TB , Intel Iris Xe, W10 )",https://computermania.com.bd/product/acer-swift-5-in-bd-price/,," 129,900",,ComputerMania-
2353,"Acer Swift 5 SF514-55TA-79W5 | 2021 Model | 14” FHD Touch Laptop Mist Green ( I7-1165G7, 16GB, 512GB SSD, Iris Xe, W10, HS )",https://computermania.com.bd/product/acer-swift-5-bd-price/,," 190,000",,ComputerMania-
2354,"Acer Swift 5 | 2021 Model | 14-inch WQXGA Touch laptop ( 12th Gen Intel Core Processor, 16GB, 2TB , Intel )",https://computermania.com.bd/product/acer-swift-5-12th-gen-price-in-bd/,," 190,000",,ComputerMania-
2355,"Acer Swift X SFX14 | 2022 Model | 14” Laptop ( 12th Gen Core i7, 16GB, 512GB SSD, RTX3050Ti, W11 )",https://computermania.com.bd/product/acer-swift-x-2022-price-in-bd/,," 190,000",,ComputerMania-
2356,"Acer Swift X SFX16 | 2022 Model | 14” WQXGA Laptop ( 12th Gen Core i7, 16GB, 512GB SSD, Intel Arc GPU, W11 )",https://computermania.com.bd/product/acer-swift-x-16-price-in-bd/,," 190,000",,ComputerMania-
2357,"Acer TravelMate P2 P214-52 | 2020 Model | 14″ FHD Laptop Black ( I5-10210U, 8GB, 512GB SSD, Intel, W10P )",https://computermania.com.bd/product/acer-travelmate-price-in-bd/,," 190,000",,ComputerMania-
2358,Apple MacBook Pro,https://computermania.com.bd/product/apple-macbook-pro-2/,," 190,000",,ComputerMania-
2359,"Apple Macbook Pro 13 2020 || 13.3″ Touch Bar Laptop Silver ( I5 2.0GHz, 16GB, 1TB, Intel, MacOS )",https://computermania.com.bd/product/macbook-price-in-bd/,," 75,000",,ComputerMania-
2360,Apple Macbook Pro M1X | 2021 Model | The Latest Apple Product With M1X Chip,https://computermania.com.bd/product/apple-macbook-pro-m1x-price-in-bangladesh/,," 75,000",,ComputerMania-
2361,"Asus 15 A516EA | 2021 Model | 15.6″ Laptop Slate Grey ( I5-1135G7, 8GB, 512GB SSD, Intel, W10, HS )",https://computermania.com.bd/product/asus-15-a516ea-price/,," 75,000",,ComputerMania-
2362,"Asus 15 A516EA | 2021 Model | 15.6” FHD Laptop Slate Grey ( I5-1135G7, 8GB, 512GB SSD, Intel, W10, HS )",https://computermania.com.bd/product/asus-15-price-price-in-bd/,," 74,900",,ComputerMania-
2363,"Asus 15 A516EA | 2021 Model | 15.6” FHD Laptop Transparent Silver ( I3-1115G4, 4GB, 256GB SSD, Intel, W10, HS )",https://computermania.com.bd/product/asus-15-a516ea-price-in-bd/,," 74,900",,ComputerMania-
2364,"Asus A409J 14″ Laptop (i5-1035G1, 8GB, 512GB, MX330, W10H)",https://computermania.com.bd/product/asus-a409-price-in-bangladesh/,," 74,900",,ComputerMania-
2365,"Asus Chromebook Flip C436 | 2021 Model | 14inch FHD Display Touch Laptop 2 in 1 ( i5-10210U, 8GB, 512GB SSD, Intel, W10 )",https://computermania.com.bd/product/asus-chromebook-flip-c436-price/,," 143,500"," 149,500",ComputerMania-
2366,"Asus Chromebook Flip C436FA | 2021 Model | 14″ FHD 2-In-1 Touch Laptop Silver ( I7-10510U, 8GB, 256GB SSD, Intel, Chrome Os )",https://computermania.com.bd/product/asus-chromebook-flip-price/,," 143,500"," 149,500",ComputerMania-
2367,"Asus ExpertBook B9450FA | 2020 Model | 14” FHD Laptop Star Black ( I5-10210U, 8GB, 512GB SSD, Intel, W10 )",https://computermania.com.bd/product/asus-expertbook-price-in-bd/,," 143,500"," 149,500",ComputerMania-
2368,"Asus ExpertBook B9450FA | 2020 Model | 14” FHD Laptop Star Black ( I7-10510U, 16GB, 1TB SSD, Intel, W10 )",https://computermania.com.bd/product/asus-expertbook-price/,," 156,900"," 170,000",ComputerMania-
2369,ASUS Helios Carry Bag,https://computermania.com.bd/product/asus-helios-carry-bag-price-in-bd/,," 163,000"," 176,900",ComputerMania-
